datetime,quantity,exposure,rate,smt_bid,smt_ask
2022/9/1 6:01,490518,490518,138.9504,138.539,138.959
2022/9/1 6:02,1132626,1623144,138.9113,138.8,138.962
2022/9/1 6:03,371491,1994635,138.9113,138.807,138.961
2022/9/1 6:04,235862.7,2230497.7,138.9113,138.813,138.959
2022/9/1 6:05,29541,2260038.7,138.9113,138.907,138.967
2022/9/1 6:06,-837445.92,1422592.78,138.9113,138.91,138.962
2022/9/1 6:07,-148100,1274492.78,138.9113,138.904,138.965
2022/9/1 6:08,-61634,1212858.78,138.9113,138.911,138.966
2022/9/1 6:09,-148267,1064591.78,138.9113,138.911,138.966
2022/9/1 6:10,-72112,992479.78,138.9113,138.927,138.963
2022/9/1 6:11,-20999,971480.78,138.9313,138.916,138.966
2022/9/1 6:12,-22685,948795.78,138.9313,138.917,138.965
2022/9/1 6:13,204638.55,1153434.33,138.955,138.921,138.964
2022/9/1 6:14,227608,1381042.33,138.9404,138.936,138.971
2022/9/1 6:15,255023.31,1636065.64,138.9513,138.948,138.972
2022/9/1 6:16,224016,1860081.64,138.9504,138.95,138.977
2022/9/1 6:17,-765399.56,1094682.08,138.9504,138.951,138.979
2022/9/1 6:18,-13747825,-12653142.92,138.9844,138.982,139.041
2022/9/1 6:19,-1169956.69,-13823099.61,139.0004,138.943,139.042
2022/9/1 6:20,551407,-13271692.61,139.0004,138.958,139.029
2022/9/1 6:21,640080,-12631612.61,139.0004,138.955,139.04
2022/9/1 6:22,463809,-12167803.61,139.0004,138.958,139.035
2022/9/1 6:23,561311.03,-11606492.58,139.025,138.941,139.045
2022/9/1 6:24,32050.91,-11574441.67,138.9804,138.951,139.025
2022/9/1 6:25,877022,-10697419.67,138.9904,138.952,139.025
2022/9/1 6:26,550,-10696869.67,138.9904,138.952,139.02
2022/9/1 6:27,138376.6,-10558493.07,139.0004,138.998,139.036
2022/9/1 6:28,458160.14,-10100332.93,139.0004,139.002,139.03
