datetime,quantity,exposure,rate,smt_bid,smt_ask
2022/9/5 7:01,1920577,1920577,140.1804,140.217,140.239
2022/9/5 7:02,-5422214,-3501637,140.2158,140.209,140.228
2022/9/5 7:03,-139540.04,-3641177.04,140.176,140.214,140.23
2022/9/5 7:04,-1413724.9,-5054901.94,140.279,140.238,140.258
2022/9/5 7:05,-512741.93,-5567643.87,140.183,140.21,140.218
2022/9/5 7:06,-4979531.19,-10547175.06,140.1909,140.19,140.208
2022/9/5 7:07,-489801.68,-11036976.74,140.1872,140.18,140.196
2022/9/5 7:08,21171488.09,10134511.35,140.195,140.176,140.194
2022/9/5 7:09,-1613832.3,8520679.05,140.1495,140.149,140.163
2022/9/5 7:10,-15080613.29,-6559934.24,140.1598,140.148,140.168
2022/9/5 7:11,-6491518,-13051452.24,140.1574,140.157,140.171
2022/9/5 7:12,-9586278.39,-22637730.63,140.1719,140.167,140.186
2022/9/5 7:13,-14835443.23,-37473173.86,140.1629,140.17,140.191
2022/9/5 7:14,-3930540,-41403713.86,140.2075,140.198,140.217
2022/9/5 7:15,-1608865.5,-43012579.36,140.222,140.198,140.216
2022/9/5 7:16,5015958.25,-37996621.11,140.225,140.23,140.245
2022/9/5 7:17,-7081482.65,-45078103.76,140.256,140.252,140.262
2022/9/5 7:18,-920894,-45998997.76,140.2566,140.249,140.261
2022/9/5 7:19,-1551998,-47550995.76,140.33,140.327,140.346
2022/9/5 7:20,3860199.53,-43690796.23,140.322,140.323,140.341
2022/9/5 7:21,61260.52,-43629535.71,140.296,140.289,140.303
2022/9/5 7:22,691063,-42938472.71,140.277,140.272,140.289
2022/9/5 7:23,-9952986.97,-52891459.68,140.298,140.306,140.32
2022/9/5 7:24,-201159,-53092618.68,140.305,140.296,140.314
2022/9/5 7:25,5457008.62,-47635610.06,140.3089,140.304,140.321
2022/9/5 7:26,981810.89,-46653799.17,140.2998,140.299,140.311
2022/9/5 7:27,-2982731,-49636530.17,140.2713,140.267,140.281
2022/9/5 7:28,3986042.41,-45650487.76,140.287,140.277,140.292
2022/9/5 7:29,2663610,-42986877.76,140.3111,140.316,140.331
2022/9/5 7:30,-11253653,-54240530.76,140.3323,140.323,140.336
2022/9/5 7:31,12347126,-41893404.76,140.3208,140.32,140.336
2022/9/5 7:32,-13349630,-55243034.76,140.3241,140.32,140.332
2022/9/5 7:33,4480420,-50762614.76,140.3005,140.29,140.304
2022/9/5 7:34,2575326.85,-48187287.91,140.322,140.31,140.323
2022/9/5 7:35,-3308394,-51495681.91,140.322,140.311,140.322
2022/9/5 7:36,2478493,-49017188.91,140.3028,140.298,140.308
2022/9/5 7:37,-752020,-49769208.91,140.3057,140.303,140.313
2022/9/5 7:38,3092763,-46676445.91,140.305,140.299,140.313
2022/9/5 7:39,-3950897,-50627342.91,140.3132,140.306,140.318
2022/9/5 7:40,6139790,-44487552.91,140.327,140.322,140.333
2022/9/5 7:41,-2380957,-46868509.91,140.32,140.318,140.33
2022/9/5 7:42,1888638.11,-44979871.8,140.3324,140.329,140.342
2022/9/5 7:43,-2803286,-47783157.8,140.3208,140.316,140.328
2022/9/5 7:44,7885271.6,-39897886.2,140.3373,140.332,140.344
2022/9/5 7:45,-8297546,-48195432.2,140.376,140.374,140.386
2022/9/5 7:46,-11559634.7,-59755066.9,140.378,140.382,140.394
2022/9/5 7:47,4171740.56,-55583326.34,140.412,140.403,140.415
2022/9/5 7:48,2218054.95,-53365271.39,140.4087,140.404,140.414
2022/9/5 7:49,1390443,-51974828.39,140.3948,140.389,140.4
2022/9/5 7:50,-1221760.62,-53196589.01,140.358,140.353,140.363
2022/9/5 7:51,5940444,-47256145.01,140.391,140.391,140.402
2022/9/5 7:52,6158173,-41097972.01,140.372,140.36,140.372
2022/9/5 7:53,5313583.13,-35784388.88,140.376,140.369,140.378
2022/9/5 7:54,2943073,-32841315.88,140.3529,140.348,140.359
2022/9/5 7:55,-9019006,-41860321.88,140.3553,140.351,140.361
2022/9/5 7:56,669181,-41191140.88,140.3534,140.348,140.36
2022/9/5 7:57,-4192754,-45383894.88,140.344,140.339,140.348
2022/9/5 7:58,1403379.6,-43980515.28,140.3381,140.328,140.341
2022/9/5 7:59,1494554,-42485961.28,140.3472,140.342,140.353
2022/9/5 8:00,-697616.68,-43183577.96,140.3378,140.336,140.348
2022/9/5 8:01,1392906.42,-41790671.54,140.3443,140.337,140.349
2022/9/5 8:02,-3057915,-44848586.54,140.344,140.34,140.35
2022/9/5 8:03,-1629453,-46478039.54,140.3458,140.344,140.35
2022/9/5 8:04,2276090,-44201949.54,140.3326,140.327,140.338
2022/9/5 8:05,-1629809,-45831758.54,140.3343,140.328,140.338
2022/9/5 8:06,2255587,-43576171.54,140.3334,140.332,140.34
2022/9/5 8:07,-651521.97,-44227693.51,140.325,140.32,140.33
2022/9/5 8:08,-3264273,-47491966.51,140.348,140.342,140.349
2022/9/5 8:09,3914266.38,-43577700.13,140.3584,140.356,140.365
2022/9/5 8:10,-5756503,-49334203.13,140.37,140.366,140.376
2022/9/5 8:11,4219982,-45114221.13,140.3893,140.382,140.391
2022/9/5 8:12,2286765,-42827456.13,140.3969,140.401,140.41
2022/9/5 8:13,3234934,-39592522.13,140.416,140.42,140.425
2022/9/5 8:14,13500825.29,-26091696.84,140.424,140.418,140.429
2022/9/5 8:15,-13787404,-39879100.84,140.431,140.426,140.438
2022/9/5 8:16,4732850.04,-35146250.8,140.423,140.414,140.427
2022/9/5 8:17,3787207.76,-31359043.04,140.398,140.39,140.4
2022/9/5 8:18,470958,-30888085.04,140.3983,140.395,140.405
2022/9/5 8:19,1119727.99,-29768357.05,140.4113,140.41,140.42
2022/9/5 8:20,-4085655,-33854012.05,140.405,140.4,140.41
2022/9/5 8:21,5313996.21,-28540015.84,140.4043,140.399,140.411
2022/9/5 8:22,272962.88,-28267052.96,140.4037,140.398,140.409
2022/9/5 8:23,-1531703.98,-29798756.94,140.4118,140.408,140.417
2022/9/5 8:24,-8846115.26,-38644872.2,140.4062,140.398,140.408
2022/9/5 8:25,7769099,-30875773.2,140.405,140.399,140.409
2022/9/5 8:26,4687700,-26188073.2,140.396,140.39,140.4
2022/9/5 8:27,-1433151,-27621224.2,140.4153,140.41,140.42
2022/9/5 8:28,609003.64,-27012220.56,140.3996,140.396,140.407
2022/9/5 8:29,-693646.19,-27705866.75,140.404,140.399,140.409
2022/9/5 8:30,-5095062.5,-32800929.25,140.41,140.404,140.413
2022/9/5 8:31,9524409,-23276520.25,140.4087,140.402,140.41
2022/9/5 8:32,-4035007.61,-27311527.86,140.4286,140.422,140.433
2022/9/5 8:33,2782110,-24529417.86,140.4027,140.399,140.408
2022/9/5 8:34,-2280041,-26809458.86,140.403,140.401,140.411
2022/9/5 8:35,-3203695.97,-30013154.83,140.4268,140.422,140.433
2022/9/5 8:36,813713,-29199441.83,140.449,140.449,140.46
2022/9/5 8:37,3141586,-26057855.83,140.446,140.442,140.453
2022/9/5 8:38,1775075,-24282780.83,140.4413,140.439,140.448
2022/9/5 8:39,1101469.32,-23181311.51,140.4585,140.453,140.462
2022/9/5 8:40,-2809073.71,-25990385.22,140.4464,140.446,140.449
2022/9/5 8:41,4130353.17,-21860032.05,140.4282,140.425,140.433
2022/9/5 8:42,-1339931.94,-23199963.99,140.431,140.426,140.435
2022/9/5 8:43,948736,-22251227.99,140.434,140.427,140.435
2022/9/5 8:44,1403646,-20847581.99,140.4402,140.436,140.446
2022/9/5 8:45,-3997240,-24844821.99,140.46,140.452,140.461
